# Step, Time, Vinf, Density, AoA
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.000000000000000000e+00,4.000000000000000083e-02,5.004289249138643036e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.000000000000000000e+00,8.000000000000000167e-02,5.017009815289184438e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.000000000000000000e+00,1.199999999999999956e-01,5.037725205032391074e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.000000000000000000e+00,1.600000000000000033e-01,5.065724590627360691e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.000000000000000000e+00,2.000000000000000111e-01,5.100047201349727111e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.000000000000000000e+00,2.399999999999999911e-01,5.139515291371675509e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.000000000000000000e+00,2.800000000000000266e-01,5.182774552924162670e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.000000000000000000e+00,3.200000000000000067e-01,5.228340588004368072e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.000000000000000000e+00,3.599999999999999867e-01,5.274649843998540533e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.000000000000000000e+01,4.000000000000000222e-01,5.320113265415605142e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.100000000000000000e+01,4.400000000000000022e-01,5.363170820726339549e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.200000000000000000e+01,4.799999999999999822e-01,5.402345033274514208e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.300000000000000000e+01,5.200000000000000178e-01,5.436291679400695465e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.400000000000000000e+01,5.600000000000000533e-01,5.463845914123630187e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.500000000000000000e+01,5.999999999999999778e-01,5.484062241622908118e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.600000000000000000e+01,6.400000000000000133e-01,5.496246958976027663e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.700000000000000000e+01,6.800000000000000488e-01,5.499981959875697157e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.800000000000000000e+01,7.199999999999999734e-01,5.495139081526780878e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.900000000000000000e+01,7.600000000000000089e-01,5.481884502423573835e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.000000000000000000e+01,8.000000000000000444e-01,5.460673040102086873e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.100000000000000000e+01,8.399999999999999689e-01,5.432232544534254970e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.200000000000000000e+01,8.800000000000000044e-01,5.397538922689014029e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.300000000000000000e+01,9.200000000000000400e-01,5.357782651267291030e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.400000000000000000e+01,9.599999999999999645e-01,5.314327926692697268e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.500000000000000000e+01,1.000000000000000000e+00,5.268665854084845002e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.600000000000000000e+01,1.040000000000000036e+00,5.222363281488548559e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.700000000000000000e+01,1.080000000000000071e+00,5.177009035060814668e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.800000000000000000e+01,1.120000000000000107e+00,5.134159400101032666e+00,3.449125112783972269e-01,6.190571602829148673e-02
2.900000000000000000e+01,1.159999999999999920e+00,5.095284718687942416e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.000000000000000000e+01,1.199999999999999956e+00,5.061718936371674360e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.100000000000000000e+01,1.239999999999999991e+00,5.034613829175329514e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.200000000000000000e+01,1.280000000000000027e+00,5.014899481560467720e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.300000000000000000e+01,1.320000000000000062e+00,5.003252371515295671e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.400000000000000000e+01,1.360000000000000098e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.500000000000000000e+01,1.400000000000000133e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.600000000000000000e+01,1.439999999999999947e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.700000000000000000e+01,1.479999999999999982e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.800000000000000000e+01,1.520000000000000018e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
3.900000000000000000e+01,1.560000000000000053e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.000000000000000000e+01,1.600000000000000089e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.100000000000000000e+01,1.640000000000000124e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.200000000000000000e+01,1.679999999999999938e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.300000000000000000e+01,1.719999999999999973e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.400000000000000000e+01,1.760000000000000009e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.500000000000000000e+01,1.800000000000000044e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.600000000000000000e+01,1.840000000000000080e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.700000000000000000e+01,1.880000000000000115e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.800000000000000000e+01,1.919999999999999929e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
4.900000000000000000e+01,1.959999999999999964e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.100000000000000000e+01,2.040000000000000036e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.200000000000000000e+01,2.080000000000000071e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.300000000000000000e+01,2.120000000000000107e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.400000000000000000e+01,2.160000000000000142e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.500000000000000000e+01,2.200000000000000178e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.600000000000000000e+01,2.240000000000000213e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.700000000000000000e+01,2.280000000000000249e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.800000000000000000e+01,2.319999999999999840e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
5.900000000000000000e+01,2.359999999999999876e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.000000000000000000e+01,2.399999999999999911e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.100000000000000000e+01,2.439999999999999947e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.200000000000000000e+01,2.479999999999999982e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.300000000000000000e+01,2.520000000000000018e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.400000000000000000e+01,2.560000000000000053e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.500000000000000000e+01,2.600000000000000089e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.600000000000000000e+01,2.640000000000000124e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.700000000000000000e+01,2.680000000000000160e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.800000000000000000e+01,2.720000000000000195e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
6.900000000000000000e+01,2.760000000000000231e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.000000000000000000e+01,2.800000000000000266e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.100000000000000000e+01,2.839999999999999858e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.200000000000000000e+01,2.879999999999999893e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.300000000000000000e+01,2.919999999999999929e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.400000000000000000e+01,2.959999999999999964e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.600000000000000000e+01,3.040000000000000036e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.700000000000000000e+01,3.080000000000000071e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.800000000000000000e+01,3.120000000000000107e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
7.900000000000000000e+01,3.160000000000000142e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.000000000000000000e+01,3.200000000000000178e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.100000000000000000e+01,3.240000000000000213e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.200000000000000000e+01,3.280000000000000249e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.300000000000000000e+01,3.320000000000000284e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.400000000000000000e+01,3.359999999999999876e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.500000000000000000e+01,3.399999999999999911e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.600000000000000000e+01,3.439999999999999947e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.700000000000000000e+01,3.479999999999999982e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.800000000000000000e+01,3.520000000000000018e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
8.900000000000000000e+01,3.560000000000000053e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.000000000000000000e+01,3.600000000000000089e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.100000000000000000e+01,3.640000000000000124e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.200000000000000000e+01,3.680000000000000160e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.300000000000000000e+01,3.720000000000000195e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.400000000000000000e+01,3.760000000000000231e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.500000000000000000e+01,3.800000000000000266e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.600000000000000000e+01,3.839999999999999858e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.700000000000000000e+01,3.879999999999999893e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.800000000000000000e+01,3.919999999999999929e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
9.900000000000000000e+01,3.959999999999999964e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
1.000000000000000000e+02,4.000000000000000000e+00,5.000000000000000000e+00,3.449125112783972269e-01,6.190571602829148673e-02
