# Step, Time, Vinf, Density, AoA
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.000000000000000000e+00,4.000000000000000083e-02,5.002308199804759603e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.000000000000000000e+00,8.000000000000000167e-02,5.009190176928328242e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.000000000000000000e+00,1.199999999999999956e-01,5.020518851544683692e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.000000000000000000e+00,1.600000000000000033e-01,5.036085032897522851e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.000000000000000000e+00,2.000000000000000111e-01,5.055601282132770713e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.000000000000000000e+00,2.399999999999999911e-01,5.078707220029031966e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.000000000000000000e+00,2.800000000000000266e-01,5.104976181615578312e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.000000000000000000e+00,3.200000000000000067e-01,5.133923094796368325e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.000000000000000000e+00,3.599999999999999867e-01,5.165013437496583038e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.000000000000000000e+01,4.000000000000000222e-01,5.197673107932619274e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.100000000000000000e+01,4.400000000000000022e-01,5.231299025745083320e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.200000000000000000e+01,4.799999999999999822e-01,5.265270268238539941e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.300000000000000000e+01,5.200000000000000178e-01,5.298959536090661615e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.400000000000000000e+01,5.600000000000000533e-01,5.331744736809618246e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.500000000000000000e+01,5.999999999999999778e-01,5.363020472044222942e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.600000000000000000e+01,6.400000000000000133e-01,5.392209216626777213e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.700000000000000000e+01,6.800000000000000488e-01,5.418771982920907782e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.800000000000000000e+01,7.199999999999999734e-01,5.442218273550822438e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.900000000000000000e+01,7.600000000000000089e-01,5.462115138728888653e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.000000000000000000e+01,8.000000000000000444e-01,5.478095170932549607e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.100000000000000000e+01,8.399999999999999689e-01,5.489863289304104832e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.200000000000000000e+01,8.800000000000000044e-01,5.497202188495335484e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.300000000000000000e+01,9.200000000000000400e-01,5.499976351340797542e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.400000000000000000e+01,9.599999999999999645e-01,5.498134551263384573e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.500000000000000000e+01,1.000000000000000000e+00,5.491710798203730093e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.600000000000000000e+01,1.040000000000000036e+00,5.480823710606298249e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.700000000000000000e+01,1.080000000000000071e+00,5.465674325058823335e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.800000000000000000e+01,1.120000000000000107e+00,5.446542384031409334e+00,5.539956650002370725e-02,2.820719684614262594e-03
2.900000000000000000e+01,1.159999999999999920e+00,5.423781170264409646e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.000000000000000000e+01,1.199999999999999956e+00,5.397810983191208223e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.100000000000000000e+01,1.239999999999999991e+00,5.369111377857660017e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.200000000000000000e+01,1.280000000000000027e+00,5.338212309651186871e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.300000000000000000e+01,1.320000000000000062e+00,5.305684348357400104e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.400000000000000000e+01,1.360000000000000098e+00,5.272128142247558991e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.500000000000000000e+01,1.400000000000000133e+00,5.238163326748793480e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.600000000000000000e+01,1.439999999999999947e+00,5.204417082505128356e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.700000000000000000e+01,1.479999999999999982e+00,5.171512554111559190e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.800000000000000000e+01,1.520000000000000018e+00,5.140057343376195576e+00,5.539956650002370725e-02,2.820719684614262594e-03
3.900000000000000000e+01,1.560000000000000053e+00,5.110632289589263522e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.000000000000000000e+01,1.600000000000000089e+00,5.083780743978009831e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.100000000000000000e+01,1.640000000000000124e+00,5.059998536401133507e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.200000000000000000e+01,1.679999999999999938e+00,5.039724819553721424e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.300000000000000000e+01,1.719999999999999973e+00,5.023333959749924027e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.400000000000000000e+01,1.760000000000000009e+00,5.011128624024933309e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.500000000000000000e+01,1.800000000000000044e+00,5.003334191207049031e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.600000000000000000e+01,1.840000000000000080e+00,5.000094590162738051e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.700000000000000000e+01,1.880000000000000115e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.800000000000000000e+01,1.919999999999999929e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
4.900000000000000000e+01,1.959999999999999964e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.000000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.100000000000000000e+01,2.040000000000000036e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.200000000000000000e+01,2.080000000000000071e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.300000000000000000e+01,2.120000000000000107e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.400000000000000000e+01,2.160000000000000142e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.500000000000000000e+01,2.200000000000000178e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.600000000000000000e+01,2.240000000000000213e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.700000000000000000e+01,2.280000000000000249e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.800000000000000000e+01,2.319999999999999840e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
5.900000000000000000e+01,2.359999999999999876e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.000000000000000000e+01,2.399999999999999911e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.100000000000000000e+01,2.439999999999999947e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.200000000000000000e+01,2.479999999999999982e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.300000000000000000e+01,2.520000000000000018e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.400000000000000000e+01,2.560000000000000053e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.500000000000000000e+01,2.600000000000000089e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.600000000000000000e+01,2.640000000000000124e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.700000000000000000e+01,2.680000000000000160e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.800000000000000000e+01,2.720000000000000195e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
6.900000000000000000e+01,2.760000000000000231e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.000000000000000000e+01,2.800000000000000266e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.100000000000000000e+01,2.839999999999999858e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.200000000000000000e+01,2.879999999999999893e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.300000000000000000e+01,2.919999999999999929e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.400000000000000000e+01,2.959999999999999964e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.500000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.600000000000000000e+01,3.040000000000000036e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.700000000000000000e+01,3.080000000000000071e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.800000000000000000e+01,3.120000000000000107e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
7.900000000000000000e+01,3.160000000000000142e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.000000000000000000e+01,3.200000000000000178e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.100000000000000000e+01,3.240000000000000213e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.200000000000000000e+01,3.280000000000000249e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.300000000000000000e+01,3.320000000000000284e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.400000000000000000e+01,3.359999999999999876e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.500000000000000000e+01,3.399999999999999911e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.600000000000000000e+01,3.439999999999999947e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.700000000000000000e+01,3.479999999999999982e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.800000000000000000e+01,3.520000000000000018e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
8.900000000000000000e+01,3.560000000000000053e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.000000000000000000e+01,3.600000000000000089e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.100000000000000000e+01,3.640000000000000124e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.200000000000000000e+01,3.680000000000000160e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.300000000000000000e+01,3.720000000000000195e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.400000000000000000e+01,3.760000000000000231e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.500000000000000000e+01,3.800000000000000266e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.600000000000000000e+01,3.839999999999999858e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.700000000000000000e+01,3.879999999999999893e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.800000000000000000e+01,3.919999999999999929e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
9.900000000000000000e+01,3.959999999999999964e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
1.000000000000000000e+02,4.000000000000000000e+00,5.000000000000000000e+00,5.539956650002370725e-02,2.820719684614262594e-03
