# Step, Time, Vinf, Density, AoA
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.000000000000000000e+00,4.000000000000000083e-02,5.005445220146589769e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.000000000000000000e+00,8.000000000000000167e-02,5.021543677206800282e+00,7.453320517378497767e-01,7.015882306960137538e-02
3.000000000000000000e+00,1.199999999999999956e-01,5.047594094038926116e+00,7.453320517378497767e-01,7.015882306960137538e-02
4.000000000000000000e+00,1.600000000000000033e-01,5.082461668606476302e+00,7.453320517378497767e-01,7.015882306960137538e-02
5.000000000000000000e+00,2.000000000000000111e-01,5.124627507953466221e+00,7.453320517378497767e-01,7.015882306960137538e-02
6.000000000000000000e+00,2.399999999999999911e-01,5.172254793856615684e+00,7.453320517378497767e-01,7.015882306960137538e-02
7.000000000000000000e+00,2.800000000000000266e-01,5.223268797862107959e+00,7.453320517378497767e-01,7.015882306960137538e-02
8.000000000000000000e+00,3.200000000000000067e-01,5.275447260110990300e+00,7.453320517378497767e-01,7.015882306960137538e-02
9.000000000000000000e+00,3.599999999999999867e-01,5.326517194892416818e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.000000000000000000e+01,4.000000000000000222e-01,5.374253905904334161e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.100000000000000000e+01,4.400000000000000022e-01,5.416577897942469910e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.200000000000000000e+01,4.799999999999999822e-01,5.451645463373782086e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.300000000000000000e+01,5.200000000000000178e-01,5.477928997288042723e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.400000000000000000e+01,5.600000000000000533e-01,5.494283542658105368e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.500000000000000000e+01,5.999999999999999778e-01,5.499996666684469737e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.600000000000000000e+01,6.400000000000000133e-01,5.494819495622748740e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.700000000000000000e+01,6.800000000000000488e-01,5.478977556162284657e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.800000000000000000e+01,7.199999999999999734e-01,5.453160951086366559e+00,7.453320517378497767e-01,7.015882306960137538e-02
1.900000000000000000e+01,7.600000000000000089e-01,5.418494297179601737e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.000000000000000000e+01,8.000000000000000444e-01,5.376487734940134544e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.100000000000000000e+01,8.399999999999999689e-01,5.328971144199926790e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.200000000000000000e+01,8.800000000000000044e-01,5.278014431336544909e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.300000000000000000e+01,9.200000000000000400e-01,5.225837360505891205e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.400000000000000000e+01,9.599999999999999645e-01,5.174712856806182870e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.500000000000000000e+01,1.000000000000000000e+00,5.126867993657659106e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.600000000000000000e+01,1.040000000000000036e+00,5.084386977562138199e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.700000000000000000e+01,1.080000000000000071e+00,5.049120356397148512e+00,7.453320517378497767e-01,7.015882306960137538e-02
2.800000000000000000e+01,1.120000000000000107e+00,5.022604406291246271e+00,7.453320517378497767e-01,7.015882306960137538e-02
