# Step, Time, Vinf, Density, AoA
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.000000000000000000e+00,4.000000000000000083e-02,5.005562536050431888e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.000000000000000000e+00,8.000000000000000167e-02,5.022002609743228874e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.000000000000000000e+00,1.199999999999999956e-01,5.048588633057687680e+00,3.863233540781580433e-01,2.330643041721644840e-02
4.000000000000000000e+00,1.600000000000000033e-01,5.084137520288813050e+00,3.863233540781580433e-01,2.330643041721644840e-02
5.000000000000000000e+00,2.000000000000000111e-01,5.127067335702398587e+00,3.863233540781580433e-01,2.330643041721644840e-02
6.000000000000000000e+00,2.399999999999999911e-01,5.175467690131432263e+00,3.863233540781580433e-01,2.330643041721644840e-02
7.000000000000000000e+00,2.800000000000000266e-01,5.227184753844993814e+00,3.863233540781580433e-01,2.330643041721644840e-02
8.000000000000000000e+00,3.200000000000000067e-01,5.279917102592448508e+00,3.863233540781580433e-01,2.330643041721644840e-02
9.000000000000000000e+00,3.599999999999999867e-01,5.331318131646343161e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.000000000000000000e+01,4.000000000000000222e-01,5.379100480389546135e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.100000000000000000e+01,4.400000000000000022e-01,5.421137820522388573e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.200000000000000000e+01,4.799999999999999822e-01,5.455559478285247010e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.300000000000000000e+01,5.200000000000000178e-01,5.480833679980347206e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.400000000000000000e+01,5.600000000000000533e-01,5.495835716343091981e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.500000000000000000e+01,5.999999999999999778e-01,5.499897992428698146e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.600000000000000000e+01,6.400000000000000133e-01,5.492839735779783794e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.700000000000000000e+01,6.800000000000000488e-01,5.474975040852848807e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.800000000000000000e+01,7.199999999999999734e-01,5.447098891724383662e+00,3.863233540781580433e-01,2.330643041721644840e-02
1.900000000000000000e+01,7.600000000000000089e-01,5.410451785070182318e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.000000000000000000e+01,8.000000000000000444e-01,5.366664527705507837e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.100000000000000000e+01,8.399999999999999689e-01,5.317685665211485890e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.200000000000000000e+01,8.800000000000000044e-01,5.265694771094772797e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.300000000000000000e+01,9.200000000000000400e-01,5.213005455137916577e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.400000000000000000e+01,9.599999999999999645e-01,5.161962407096776673e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.500000000000000000e+01,1.000000000000000000e+00,5.114837057330176684e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.600000000000000000e+01,1.040000000000000036e+00,5.073726497493844079e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.700000000000000000e+01,1.080000000000000071e+00,5.040460159356921821e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.800000000000000000e+01,1.120000000000000107e+00,5.016518404560631694e+00,3.863233540781580433e-01,2.330643041721644840e-02
2.900000000000000000e+01,1.159999999999999920e+00,5.002966648098291280e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.000000000000000000e+01,1.199999999999999956e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.100000000000000000e+01,1.239999999999999991e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.200000000000000000e+01,1.280000000000000027e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.300000000000000000e+01,1.320000000000000062e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.400000000000000000e+01,1.360000000000000098e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.500000000000000000e+01,1.400000000000000133e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.600000000000000000e+01,1.439999999999999947e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.700000000000000000e+01,1.479999999999999982e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.800000000000000000e+01,1.520000000000000018e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
3.900000000000000000e+01,1.560000000000000053e+00,5.000000000000000000e+00,3.863233540781580433e-01,2.330643041721644840e-02
